,site,Section,Period,Total Bones Recorded,Geographic Region,author,time,Cervus_elaphus,Dama_mesopotamica,Cervus_Dama,Cervidae,Dama,Megaloceros_sp,Praemegaceros_verticornis,Pseudodama_sp,Capreolus_sp,Capreolus_capreolus,Pontoceros_antiquus_or_Sprocerus_sp,Bovini_gen_et_sp_Indet.,Bovidae_gen_et_sp_Indet.,Bos_sp,Bos_primigenius,Bos_oldowayensis,Leptobos_sp,Pelorovis_oldowayensis,Alcelaphus_sp,Alcelaphus_buselaphus,Gazella_gazella,gazelle_sp,Capra_sp,Capra_aegagrus,shepgoat,Capra_ibex_nubiana,Oryx_sp,Oryx_leucoryx,Oryx_cf_gazella,Antelopini_gen_et_sp_indet,Equus_sp,Equus_africanus,Equus_ferus,Equus_hyduntinus,Equus_caballus,Equus_caballus_hydruntinus,Equus_tabeti,Equus_hemionus,Equus_hemionus_asinus,Equus_cf_melkiensis,Sus_scrofa,Sus_strozzi,Kolpochoerus_olduvaniensis,Kolpochoerus_evronesis,Hippopotamus_sp,hippopotamus_amphibius,Lycaon_sp,Lycaon_lycaonoides,Canis_sp,Canis_aureus,Canis_mosbachensis,Canis_lupus,Ursus_arctos,Ursus_etruscus,Ursus_sp,Panthera_lio,Panthera_paradus,Panthera_gombaszoegensis,panthera_sp,Megantereon_sp,Acinonyx_jobatus,Lynx_sp,Felidae_indet,Felis_chaus,felis_caracal,felis_sylvestris,Genetta_genetta,Herpestes_sp,Herpestes_Icheumon,Meles_meles,Mustelidae,Mustella_nivalis,Martes_foina,Vormela_peregusna,Procavia,Procavia_capensis,Erinaceus_sp,Erinaceus_concolor,Microtus_guenthri,Microtus_Chionomys,Spalax_ehrenbergi,Stellagama_stellio,Crocidura_cf_suaveolens,Gerbillus_sp,Apodemus_sp,Chionomys_nivalis,Mellivora_sp,cf Mellivora_capensis,Lutra_simplicidens,Vulpes_sp,Vulpes_vulpes,cf_Caracal_caracal,Crocuta_crocuta,Crocuta_Hyaena,Hyaenidae_Indet,Hyaena_hyaena,Hystrix_indica,Hystrix_refossa,Procavia_capensis.1,Lepus_capensis,Rhinoceros_sp,Dicerhorinus_sp,Dicerorhinus_hemitoechus,Stephanorhinus_etruscus_etruscus,Stephanorhinus_sp,Stegodon_sp,Mammuthus_sp,Elephas_sp,Palaeoloxodon_antiquus,Camelus_sp,Camelus_cf_thomasi,Giraffa_sp,Hypolagus_beremendensis,Palaeoloxodon_antiquus.1,Struthio_camelus,sciurus_anomalous,Theropithecus_cf_oswaldi,Macaca_sylvana,mediumlarge,Ovis_aries,Capra_hircus,Ovis_Capra,Bos_taurus,Sus_scrofa_dom,Equus_asinus,Canis_familiaris,Equus_sp.1,Equus_cabalus,Camelus_dromedarius,Bos_indicus,Mule,Gallus_galus,REG_NAME,Y,X,
153,Ashkelon,Biblical,Persian,172,Central Coastal Plain,Lipovitch nd,Late Achaemenid  period,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,19,3,97,9,0,0,0,0,2,2,0,0,0,מישור חוף יהודה,619000,157000,
154,Tel Ya'oz,Biblical,Persian,277,Central Coastal Plain,Sade 2006,Persian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,38,0,0,0,0,0,0,0,0,0,מישור חוף יהודה,650000,174000,
155,Tel Michal XIV-XII,Biblical,Persian,3224,Central Coastal Plain,Hellwing & Feig ,Persian,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1799,1136,12,32,51,0,10,21,0,0,0,מישור חוף השרון,674500,181500,
156,Tel Michal,Biblical,Persian,1311,Central Coastal Plain,Sade 2006,Persian,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,929,5,0,10,0,0,1,0,0,0,מישור חוף השרון,674500,181500,
157,Tel Lod (A-5658),Classical,Roman,40,Central Coastal Plain,Marom nd,Roman -- Byzantine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,1,0,0,0,0,0,0,0,0,מישור חוף יהודה,651268,190720,
158,Timna - Site 34,Biblical,Iron Age,191,Eilat Region,Sapir-Hen and Ben-Yosef 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,12,164,0,0,11,0,0,0,0,0,0,0,הרי אילת,409200,194700,
159,Timna,Biblical,Late Bronze,3146,Eilat Region,Hanan Lernau,Chal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,142,2891,0,0,0,0,0,0,0,0,0,0,הרי אילת,409200,194700,
160,Timna-Site 2,Biblical,Late Bronze,39,Eilat Region,Bar-Oz and Gini-Erickson nd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,8,0,0,0,0,0,0,0,0,הרי אילת,410780,184772,
161,Tel 'Ira,Classical,Byzantine ,205,Sothern Shephella,Dayan,Byzantine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,4,44,3,1,0,0,2,0,0,26,הר חברון,571500,198500,
162,Jerusalem ADHK city of David,Classical,Byzantine ,25,Jerusalem region,Horwitz Tchernov 1985,Byzantine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,1,2,0,0,0,0,2,הר חברון,631150,222450,
163,Jerusalem ADHK city of David,Prehistory,Chalcolithic,25,Jerusalem region,Horwitz Tchernov 1985,Chalcolithic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,2,0,0,0,0,0,0,0,0,הר חברון,631150,222450,
164,Jerusalem ADHK city of David,Biblical,Early Bronze,48,Jerusalem region,Horwitz Tchernov 1985,EB I-II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,4,0,0,0,0,0,0,0,0,הר חברון,631150,222450,
165,Wallajeh (A-5198),Classical,Hellenistic,81,Jerusalem region,Marom nd,Hellenistic -- Roman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,14,1,0,2,0,0,0,0,0,2,הר חברון,624700,216028,
166,Tel 'Ira,Classical,Roman,43,Jerusalem region,Dayan 2004,Hell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,1,4,0,0,0,1,0,0,0,הר חברון,571500,198500,
167,Tel 'Ira,Classical,Roman,10,Jerusalem region,Dayan 2004,Rom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,הר חברון,571500,198500,
168,Jerusalem ADHK city of David,Classical,Roman,64,Jerusalem region,Horwitz Tchernov 1985,Early Rome,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,0,1,0,0,0,0,0,18,הר חברון,631150,222450,
169,Jerusalem ADHK city of David,Classical,Roman,981,Jerusalem region,Horwitz Tchernov 1985,Hellenistic -well,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,284,0,0,5,1,0,0,0,0,2,הר חברון,631150,222450,
170,Jerusalem dump C,Classical,Roman,241,Jerusalem region,Buchnick et al. ,early Rome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,30,0,0,1,0,0,0,0,0,21,הר חברון,631240,222526,
171,Jerusalem dump L,Classical,Roman,323,Jerusalem region,Buchnick et al. ,early Rome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,241,42,0,1,0,0,0,0,0,0,16,הר חברון,631420,222622,
172,Hebron-  Tel er-Rumeida,Biblical,Iron Age,70,Hebron Region,Motro nd,IRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,7,0,0,1,0,0,1,0,0,0,הר חברון,603671,209725,
173,Hebron-  Tel er-Rumeida,Biblical,Iron Age,144,Hebron Region,Motro nd,IRII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,33,6,11,1,0,0,1,0,0,0,הר חברון,603671,209725,
174,"City of David, visitor center",Biblical,Iron Age,2291,Jerusalem region,Tamar et al. 2013,IRII,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,45,1981,165,0,2,9,0,0,0,0,0,0,הר חברון,631150,222450,
175,Ras al-Amud (A-6653),Biblical,Iron Age,225,Hebron Region,Marom nd,Late IR -- Persian ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,178,22,0,4,0,0,0,0,0,0,0,הר חברון,631484,223192,
176,Tel 'Ira,Biblical,Iron Age,59,Sothern Shephella,Horwitz 1999,early Irone (9-8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,0,0,1,0,0,0,הר חברון,571500,198500,
177,"City of David, visitor center",Biblical,Iron Age,523,Jerusalem region,Raban-Gerstel and Bar-Oz nd,Early Iron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,416,72,0,0,0,0,0,0,0,0,0,הר חברון,631150,222450,
178,Jerusalem ADHK city of David,Biblical,Iron Age,1390,Jerusalem region,Horwitz Tchernov 1985,Iron I,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,139,3,0,15,0,0,0,0,0,0,הר חברון,631150,222450,
179,Tel 'Ira,Biblical,Iron Age,95,Sothern Shephella,Horwitz 1999,iron  7th ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,0,0,4,0,0,0,0,0,1,הר חברון,571500,198500,
180,Tel 'Ira,Biblical,Iron Age,575,Sothern Shephella,Dayan,Iron age II,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,68,2,1,4,0,0,1,0,0,12,הר חברון,571500,198500,
181,"City of David, visitor center",Biblical,Iron Age,51,Jerusalem region,Raban-Gerstel and Bar-Oz ,Iron IIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,44,1,0,0,0,0,0,0,0,0,0,הר חברון,631150,222450,
182,Jerusalem ADHK city of David,Biblical,Iron Age,1183,Jerusalem region,Horwitz Tchernov 1985,Iron II,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,205,4,0,2,3,0,0,0,0,1,הר חברון,631150,222450,
183,Tell Gezer,Biblical,Late Bronze,1211,Jerusalem region,Zuckerman and Bar-Oz nd,LBII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,482,575,2,18,22,63,0,0,0,10,0,הר חברון,623379,223837,
184,Jerusalem ADHK city of David,Biblical,Late Bronze,34,Jerusalem region,Horwitz Tchernov 1985,LBII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,הר חברון,631150,222450,
185,Hebron-  Tel er-Rumeida,Biblical,Middle Bronze,1505,Jerusalem region,Motro nd,MBIIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,200,56,26,28,0,0,1,0,0,0,הר חברון,603671,209725,
186,Wallajeh (A-6087),Biblical,Middle Bronze,236,Jerusalem region,Marom nd,MB IIB-C temple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,233,0,1,0,0,0,0,0,0,0,0,הר חברון,624700,216028,
187,Beit Tsafafa Burial cave (A-6898),Biblical,Middle Bronze,134,Jerusalem region,Marom nd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,129,0,0,0,0,0,0,0,0,0,0,הר חברון,628058,218559,
188,Efrata,Biblical,Middle Bronze,2367,Jerusalem region,Horwitz 2001,MBII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2348,8,1,8,0,0,0,0,0,0,0,הר חברון,617500,214500,
189,Khirbet Khamase,Middle Ages,Ottoman,20,Jerusalem region,Horwitz nd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,0,0,0,0,0,0,0,0,הר חברון,623759,210329,
190,Tel 'Ira,Biblical,Persian,79,Sothern Shephella,Dayan 2004,Persian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,0,0,1,0,0,1,0,0,3,הר חברון,571500,198500,
